repository,stars,age_years,ai_score,ai_validation_reason,pre_commits,pre_issues,pre_avg_resolution_hours,pre_issue_rate_per_month,pre_fix_percent,pre_revert_percent,pre_avg_lines_changed,pre_avg_mi,pre_median_mi,pre_std_mi,pos_commits,pos_issues,pos_avg_resolution_hours,pos_issue_rate_per_month,pos_fix_percent,pos_revert_percent,pos_avg_lines_changed,pos_avg_mi,pos_median_mi,pos_std_mi,comparison_mi_change_percent
TheAlgorithms/Python,220710,9.8,5,Arquivo detectado: .vscode/settings.json; Co-autoria detectada no commit 840ca00: 'copilot',255,206,999.2363727076591,34.333333333333336,58.82352941176471,1.1764705882352942,190.63529411764705,64.04850695098318,62.60532674362637,14.941192340251233,42,83,987.9329398148149,13.833333333333334,57.14285714285714,2.380952380952381,34.523809523809526,63.63915582646909,62.9244959415217,14.029905463775316,-0.63912672441743
django/django,87397,14.0,2,Arquivo detectado: .github/copilot-instructions.md,607,0,0.0,0.0,53.87149917627677,0.9884678747940692,83.65897858319605,66.78969621414278,64.02582539216134,26.898913438736162,530,0,0.0,0.0,56.9811320754717,1.6981132075471699,79.91132075471698,66.02777912756468,63.42565180105794,27.889930099325948,-1.140770402870552
sherlock-project/sherlock,82887,7.4,3,Co-autoria detectada no commit fd3833b: 'claude',104,116,10371.916641182466,19.333333333333332,25.961538461538463,1.9230769230769231,61.75,74.2876857405201,84.90604914665005,23.98442721344574,29,75,1031.8222154471543,12.5,37.93103448275862,0.0,11.96551724137931,68.35105057491623,69.19300235403075,24.389144306748445,-7.991412178782878
huggingface/transformers,160227,7.5,8,Arquivo detectado: .github/copilot-instructions.md; Co-autoria detectada no commit b6fb4ec: 'claude'; Co-autoria detectada no commit b6fb4ec: 'copilot',1000,2232,1448.6802808771115,372.0,54.2,4.3999999999999995,349.434,61.124232229606015,63.382250662675375,34.93795171643774,1000,1111,1838.0363909378295,185.16666666666666,73.3,10.299999999999999,635.922,58.40324345067181,57.4798538410365,29.087233573102893,-4.451571299436745
ansible/ansible,68467,14.2,5,Arquivo detectado: .claude; Co-autoria detectada no commit 52b7d4d: 'claude',469,2032,17674.801308425038,338.6666666666667,37.73987206823028,1.9189765458422177,161.1897654584222,66.49917222830935,69.33185966137185,27.576984332591397,205,413,9286.42556091806,68.83333333333333,47.80487804878049,1.951219512195122,159.01463414634145,66.51473952796175,69.02642528643455,27.983974260525656,0.02340976455910841
scikit-learn/scikit-learn,65968,15.7,3,Co-autoria detectada no commit e7b663d: 'copilot',758,2057,26708.9387442557,342.8333333333333,26.2532981530343,0.9234828496042217,102.47757255936675,54.60834515916263,52.19315125560388,25.332529403239437,500,651,20687.695784574466,108.5,31.0,0.8,101.726,56.01761321029744,52.75698396936219,26.909810379898367,2.580682580706899
scrapy/scrapy,61542,16.2,3,Co-autoria detectada no commit da1a6b7: 'claude',172,464,29830.63350819672,77.33333333333333,19.186046511627907,0.5813953488372093,193.7906976744186,63.31406201488006,57.75013459156954,21.670888699562003,159,138,13607.30448082011,23.0,30.18867924528302,3.1446540880503147,233.9685534591195,59.69088602239242,56.5228113562586,21.57018093107685,-5.7225454775530284
Textualize/rich,56247,6.5,6,Co-autoria detectada no commit 905b397: 'copilot'; Co-autoria detectada no commit f07a3fc: 'llm',487,198,869.7215095398428,33.0,32.238193018480494,0.6160164271047228,47.718685831622174,55.58209042124342,54.54275574961309,26.923572413732394,162,93,2953.3404693486586,15.5,19.1358024691358,0.0,636.1851851851852,64.23388559558882,62.373006144765604,30.192093567080498,15.565796659995154
commaai/openpilot,60804,9.4,7,Arquivo detectado: .vscode/settings.json; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit ab43fd1: 'claude',1000,514,3055.7660451794204,85.66666666666667,23.3,5.6000000000000005,138.331,63.42645686406677,60.442982458533464,19.936455608438305,946,266,4861.456551679586,44.333333333333336,30.972515856236786,11.839323467230443,190.7600422832981,55.18729362726049,54.230745829492875,20.42095059730127,-12.990104830329956
psf/requests,53954,15.2,3,Co-autoria detectada no commit b2a1d33: 'claude',55,3320,2651.538154713393,553.3333333333334,25.454545454545453,0.0,16.254545454545454,64.1270011338292,67.98847227396891,27.851273540734763,67,180,13018.371342281878,30.0,13.432835820895523,0.0,46.82089552238806,62.80190967218249,66.67845667385097,29.144000074593155,-2.0663549491131215
