repository,evidence_type
TheAlgorithms/Python,Arquivo relacionado a IA
TheAlgorithms/Python,Coautoria relacionada a IA
TheAlgorithms/Python,Mencao a Copilot
django/django,Arquivo relacionado a IA
django/django,Mencao a Copilot
sherlock-project/sherlock,Coautoria relacionada a IA
sherlock-project/sherlock,Mencao a Claude
huggingface/transformers,Arquivo relacionado a IA
huggingface/transformers,Coautoria relacionada a IA
huggingface/transformers,Mencao a Copilot
huggingface/transformers,Mencao a Claude
ansible/ansible,Arquivo relacionado a IA
ansible/ansible,Coautoria relacionada a IA
ansible/ansible,Mencao a Claude
scikit-learn/scikit-learn,Coautoria relacionada a IA
scikit-learn/scikit-learn,Mencao a Copilot
scrapy/scrapy,Coautoria relacionada a IA
scrapy/scrapy,Mencao a Claude
Textualize/rich,Coautoria relacionada a IA
Textualize/rich,Mencao a Copilot
commaai/openpilot,Arquivo relacionado a IA
commaai/openpilot,Coautoria relacionada a IA
commaai/openpilot,Mencao a Claude
psf/requests,Coautoria relacionada a IA
psf/requests,Mencao a Claude
freqtrade/freqtrade,Arquivo relacionado a IA
freqtrade/freqtrade,Coautoria relacionada a IA
freqtrade/freqtrade,Mencao a Copilot
pandas-dev/pandas,Coautoria relacionada a IA
pandas-dev/pandas,Mencao a Claude
streamlit/streamlit,Arquivo relacionado a IA
streamlit/streamlit,Coautoria relacionada a IA
streamlit/streamlit,Mencao a Copilot
streamlit/streamlit,Mencao a Claude
apache/airflow,Arquivo relacionado a IA
apache/airflow,Coautoria relacionada a IA
apache/airflow,Mencao a Copilot
apache/airflow,Mencao a Claude
mitmproxy/mitmproxy,Coautoria relacionada a IA
mitmproxy/mitmproxy,Mencao a Copilot
mitmproxy/mitmproxy,Mencao a Claude
python/cpython,Coautoria relacionada a IA
python/cpython,Mencao a Claude
getsentry/sentry,Arquivo relacionado a IA
getsentry/sentry,Coautoria relacionada a IA
getsentry/sentry,Mencao a Claude
deepspeedai/DeepSpeed,Coautoria relacionada a IA
deepspeedai/DeepSpeed,Mencao a Copilot
deepspeedai/DeepSpeed,Mencao a Claude
mingrammer/diagrams,Coautoria relacionada a IA
mingrammer/diagrams,Mencao a Copilot
pytorch/pytorch,Arquivo relacionado a IA
pytorch/pytorch,Coautoria relacionada a IA
pytorch/pytorch,Mencao a Copilot
pytorch/pytorch,Mencao a Claude
ray-project/ray,Arquivo relacionado a IA
ray-project/ray,Coautoria relacionada a IA
ray-project/ray,Mencao a Claude
psf/black,Coautoria relacionada a IA
psf/black,Mencao a Copilot
psf/black,Mencao a Claude
home-assistant/core,Arquivo relacionado a IA
home-assistant/core,Coautoria relacionada a IA
home-assistant/core,Mencao a Copilot
home-assistant/core,Mencao a Claude
nicolargo/glances,Arquivo relacionado a IA
nicolargo/glances,Coautoria relacionada a IA
nicolargo/glances,Mencao a Copilot
nicolargo/glances,Mencao a Claude
python-poetry/poetry,Coautoria relacionada a IA
python-poetry/poetry,Mencao a Copilot
python-poetry/poetry,Mencao a Claude
trailofbits/algo,Coautoria relacionada a IA
trailofbits/algo,Mencao a Claude
encode/django-rest-framework,Coautoria relacionada a IA
encode/django-rest-framework,Mencao a Copilot
numpy/numpy,Coautoria relacionada a IA
numpy/numpy,Mencao a Claude
Lightning-AI/pytorch-lightning,Coautoria relacionada a IA
Lightning-AI/pytorch-lightning,Mencao a Copilot
Lightning-AI/pytorch-lightning,Mencao a Claude
AtsushiSakai/PythonRobotics,Coautoria relacionada a IA
AtsushiSakai/PythonRobotics,Mencao a Copilot
python-telegram-bot/python-telegram-bot,Arquivo relacionado a IA
python-telegram-bot/python-telegram-bot,Mencao a Copilot
locustio/locust,Arquivo relacionado a IA
locustio/locust,Coautoria relacionada a IA
locustio/locust,Mencao a Claude
celery/celery,Arquivo relacionado a IA
celery/celery,Coautoria relacionada a IA
celery/celery,Mencao a Copilot
pydantic/pydantic,Coautoria relacionada a IA
pydantic/pydantic,Mencao a Claude
PostHog/posthog,Arquivo relacionado a IA
PostHog/posthog,Coautoria relacionada a IA
PostHog/posthog,Mencao a Claude
keon/algorithms,Coautoria relacionada a IA
keon/algorithms,Mencao a Claude
ArchiveBox/ArchiveBox,Arquivo relacionado a IA
ArchiveBox/ArchiveBox,Coautoria relacionada a IA
ArchiveBox/ArchiveBox,Mencao a Claude
spotDL/spotify-downloader,Arquivo relacionado a IA
spotDL/spotify-downloader,Coautoria relacionada a IA
spotDL/spotify-downloader,Mencao a Copilot
Delgan/loguru,Arquivo relacionado a IA
pyg-team/pytorch_geometric,Coautoria relacionada a IA
pyg-team/pytorch_geometric,Mencao a Claude
mlflow/mlflow,Arquivo relacionado a IA
mlflow/mlflow,Coautoria relacionada a IA
mlflow/mlflow,Mencao a Copilot
mlflow/mlflow,Mencao a Claude
zulip/zulip,Arquivo relacionado a IA
zulip/zulip,Coautoria relacionada a IA
zulip/zulip,Mencao a Claude
serengil/deepface,Arquivo relacionado a IA
pypa/pipenv,Coautoria relacionada a IA
pypa/pipenv,Mencao a Copilot
pypa/pipenv,Mencao a Claude
goauthentik/authentik,Arquivo relacionado a IA
onnx/onnx,Arquivo relacionado a IA
onnx/onnx,Coautoria relacionada a IA
onnx/onnx,Mencao a Copilot
onnx/onnx,Mencao a Claude
PrefectHQ/prefect,Arquivo relacionado a IA
PrefectHQ/prefect,Coautoria relacionada a IA
PrefectHQ/prefect,Mencao a Claude
huggingface/datasets,Coautoria relacionada a IA
huggingface/datasets,Mencao a Claude
sanic-org/sanic,Coautoria relacionada a IA
sanic-org/sanic,Mencao a Copilot
kivy/kivy,Coautoria relacionada a IA
kivy/kivy,Mencao a Copilot
huggingface/sentence-transformers,Coautoria relacionada a IA
huggingface/sentence-transformers,Mencao a Copilot
caronc/apprise,Arquivo relacionado a IA
laramies/theHarvester,Coautoria relacionada a IA
laramies/theHarvester,Mencao a Claude
NVIDIA-NeMo/NeMo,Arquivo relacionado a IA
NVIDIA-NeMo/NeMo,Coautoria relacionada a IA
NVIDIA-NeMo/NeMo,Mencao a Copilot
NVIDIA-NeMo/NeMo,Mencao a Claude
NVIDIA/Megatron-LM,Arquivo relacionado a IA
NVIDIA/Megatron-LM,Coautoria relacionada a IA
NVIDIA/Megatron-LM,Mencao a Claude
wkentaro/labelme,Arquivo relacionado a IA
wkentaro/labelme,Mencao a Claude
hummingbot/hummingbot,Coautoria relacionada a IA
hummingbot/hummingbot,Mencao a Claude
ansible/awx,Coautoria relacionada a IA
ansible/awx,Mencao a Claude
dagster-io/dagster,Arquivo relacionado a IA
dagster-io/dagster,Coautoria relacionada a IA
dagster-io/dagster,Mencao a Claude
lra/mackup,Coautoria relacionada a IA
lra/mackup,Mencao a Copilot
lra/mackup,Mencao a Claude
Nuitka/Nuitka,Arquivo relacionado a IA
beetbox/beets,Arquivo relacionado a IA
beetbox/beets,Coautoria relacionada a IA
beetbox/beets,Mencao a Copilot
beetbox/beets,Mencao a Claude
pyodide/pyodide,Arquivo relacionado a IA
pyodide/pyodide,Coautoria relacionada a IA
pyodide/pyodide,Mencao a Claude
nltk/nltk,Coautoria relacionada a IA
nltk/nltk,Mencao a Copilot
nltk/nltk,Mencao a Claude
scipy/scipy,Coautoria relacionada a IA
scipy/scipy,Mencao a Claude
idank/explainshell,Arquivo relacionado a IA
idank/explainshell,Mencao a Claude
saltstack/salt,Coautoria relacionada a IA
saltstack/salt,Mencao a Copilot
PaddlePaddle/PaddleDetection,Coautoria relacionada a IA
PaddlePaddle/PaddleDetection,Mencao a Claude
geldata/gel,Coautoria relacionada a IA
geldata/gel,Mencao a Copilot
dask/dask,Coautoria relacionada a IA
dask/dask,Mencao a Claude
evilsocket/opensnitch,Coautoria relacionada a IA
evilsocket/opensnitch,Mencao a Claude
redis/redis-py,Arquivo relacionado a IA
redis/redis-py,Coautoria relacionada a IA
redis/redis-py,Mencao a Copilot
redis/redis-py,Mencao a Claude
sshuttle/sshuttle,Coautoria relacionada a IA
sshuttle/sshuttle,Mencao a Claude
plasma-umass/scalene,Coautoria relacionada a IA
plasma-umass/scalene,Mencao a Copilot
plasma-umass/scalene,Mencao a Claude
DLR-RM/stable-baselines3,Coautoria relacionada a IA
DLR-RM/stable-baselines3,Mencao a Copilot
dbcli/pgcli,Coautoria relacionada a IA
dbcli/pgcli,Mencao a Copilot
python-pillow/Pillow,Coautoria relacionada a IA
python-pillow/Pillow,Mencao a Copilot
pypa/pipx,Coautoria relacionada a IA
pypa/pipx,Mencao a Copilot
Kludex/starlette,Coautoria relacionada a IA
Kludex/starlette,Mencao a Copilot
icloud-photos-downloader/icloud_photos_downloader,Arquivo relacionado a IA
icloud-photos-downloader/icloud_photos_downloader,Coautoria relacionada a IA
icloud-photos-downloader/icloud_photos_downloader,Mencao a Claude
apache/tvm,Coautoria relacionada a IA
apache/tvm,Mencao a Claude
secdev/scapy,Coautoria relacionada a IA
secdev/scapy,Mencao a Copilot
dbt-labs/dbt-core,Coautoria relacionada a IA
dbt-labs/dbt-core,Mencao a Copilot
dbt-labs/dbt-core,Mencao a Claude
ludwig-ai/ludwig,Arquivo relacionado a IA
kornia/kornia,Arquivo relacionado a IA
kornia/kornia,Coautoria relacionada a IA
kornia/kornia,Mencao a Copilot
kornia/kornia,Mencao a Claude
great-expectations/great_expectations,Coautoria relacionada a IA
great-expectations/great_expectations,Mencao a Copilot
great-expectations/great_expectations,Mencao a Claude
speechbrain/speechbrain,Coautoria relacionada a IA
