"repository","owner","stars","age_years","age_group","ai_score","ai_score_group","stars_group","has_detected_file","has_coauthorship","mentions_copilot","mentions_claude","pre_commits","pre_issues","pre_avg_mi","pos_commits","pos_issues","pos_avg_mi","comparison_mi_change_percent","ai_validation_reason"
"TheAlgorithms/Python","TheAlgorithms","220710","9.8","8 a 11,9 anos","5","Medio (4-6)","60 mil ou mais","True","True","True","False","255","206","64.0485069509832","42","83","63.6391558264691","-0.63912672441743","Arquivo detectado: .vscode/settings.json; Co-autoria detectada no commit 840ca00: 'copilot'"
"django/django","django","87397","14","12 anos ou mais","2","Baixo (2-3)","60 mil ou mais","True","False","True","False","607","0","66.7896962141428","530","0","66.0277791275647","-1.14077040287055","Arquivo detectado: .github/copilot-instructions.md"
"sherlock-project/sherlock","sherlock-project","82887","7.4","Menos de 8 anos","3","Baixo (2-3)","60 mil ou mais","False","True","False","True","104","116","74.2876857405201","29","75","68.3510505749162","-7.99141217878288","Co-autoria detectada no commit fd3833b: 'claude'"
"huggingface/transformers","huggingface","160227","7.5","Menos de 8 anos","8","Alto (7+)","60 mil ou mais","True","True","True","True","1000","2232","61.124232229606","1000","1111","58.4032434506718","-4.45157129943675","Arquivo detectado: .github/copilot-instructions.md; Co-autoria detectada no commit b6fb4ec: 'claude'; Co-autoria detectada no commit b6fb4ec: 'copilot'"
"ansible/ansible","ansible","68467","14.2","12 anos ou mais","5","Medio (4-6)","60 mil ou mais","True","True","False","True","469","2032","66.4991722283093","205","413","66.5147395279618","0.0234097645591084","Arquivo detectado: .claude; Co-autoria detectada no commit 52b7d4d: 'claude'"
"scikit-learn/scikit-learn","scikit-learn","65968","15.7","12 anos ou mais","3","Baixo (2-3)","60 mil ou mais","False","True","True","False","758","2057","54.6083451591626","500","651","56.0176132102974","2.5806825807069","Co-autoria detectada no commit e7b663d: 'copilot'"
"scrapy/scrapy","scrapy","61542","16.2","12 anos ou mais","3","Baixo (2-3)","60 mil ou mais","False","True","False","True","172","464","63.3140620148801","159","138","59.6908860223924","-5.72254547755303","Co-autoria detectada no commit da1a6b7: 'claude'"
"Textualize/rich","Textualize","56247","6.5","Menos de 8 anos","6","Medio (4-6)","30 mil a 59,9 mil","False","True","True","False","487","198","55.5820904212434","162","93","64.2338855955888","15.5657966599952","Co-autoria detectada no commit 905b397: 'copilot'; Co-autoria detectada no commit f07a3fc: 'llm'"
"commaai/openpilot","commaai","60804","9.4","8 a 11,9 anos","7","Alto (7+)","60 mil ou mais","True","True","False","True","1000","514","63.4264568640668","946","266","55.1872936272605","-12.99010483033","Arquivo detectado: .vscode/settings.json; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit ab43fd1: 'claude'"
"psf/requests","psf","53954","15.2","12 anos ou mais","3","Baixo (2-3)","30 mil a 59,9 mil","False","True","False","True","55","3320","64.1270011338292","67","180","62.8019096721825","-2.06635494911312","Co-autoria detectada no commit b2a1d33: 'claude'"
"freqtrade/freqtrade","freqtrade","49807","9","8 a 11,9 anos","5","Medio (4-6)","30 mil a 59,9 mil","True","True","True","False","1000","666","68.1934411392936","1000","183","66.2612343404224","-2.83342029173229","Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 63819fa: 'copilot'"
"pandas-dev/pandas","pandas-dev","48653","15.7","12 anos ou mais","3","Baixo (2-3)","30 mil a 59,9 mil","False","True","False","True","1000","7355","50.2212855120898","1000","1165","49.7248870706877","-0.988422411613857","Co-autoria detectada no commit b00d4f6: 'claude'"
"streamlit/streamlit","streamlit","44438","6.7","Menos de 8 anos","13","Alto (7+)","30 mil a 59,9 mil","True","True","True","True","314","1023","83.6577547306765","1000","729","80.7910274684722","-3.42673225146116","Arquivo detectado: .cursor; Arquivo detectado: .claude; Arquivo detectado: .github/copilot-instructions.md; Arquivo detectado: .vscode/settings.json; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 158738f: 'claude'"
"apache/airflow","apache","45280","11.1","8 a 11,9 anos","8","Alto (7+)","30 mil a 59,9 mil","True","True","True","True","1000","2039","86.1907700092853","1000","2327","78.7748286964968","-8.60410147396246","Arquivo detectado: .claude; Co-autoria detectada no commit 4a9b5a0: 'claude'; Co-autoria detectada no commit 4082687: 'copilot'"
"mitmproxy/mitmproxy","mitmproxy","43387","16.2","12 anos ou mais","6","Medio (4-6)","30 mil a 59,9 mil","False","True","True","True","249","414","59.246289286865","91","99","58.2702002796219","-1.64751078758193","Co-autoria detectada no commit d482bba: 'claude'; Co-autoria detectada no commit a9c3daf: 'copilot'"
"python/cpython","python","72575","9.2","8 a 11,9 anos","3","Baixo (2-3)","60 mil ou mais","False","True","False","True","1000","57942","58.3474273622993","1000","3465","57.0842566746152","-2.1649123959497","Co-autoria detectada no commit 7acee98: 'claude'"
"getsentry/sentry","getsentry","43770","15.7","12 anos ou mais","11","Alto (7+)","30 mil a 59,9 mil","True","True","False","True","1000","496","72.2054109610192","1000","1777","68.4514184381777","-5.19904598959785","Arquivo detectado: .cursor; Arquivo detectado: .claude; Arquivo detectado: .vscode/settings.json; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 7f41cc5: 'claude'"
"deepspeedai/DeepSpeed","deepspeedai","42261","6.3","Menos de 8 anos","6","Medio (4-6)","30 mil a 59,9 mil","False","True","True","True","212","388","59.011217490682","161","147","71.9443429958683","21.9163848080723","Co-autoria detectada no commit 4e668fc: 'copilot'; Co-autoria detectada no commit 956ec6f: 'claude'"
"mingrammer/diagrams","mingrammer","42239","6.3","Menos de 8 anos","3","Baixo (2-3)","30 mil a 59,9 mil","False","True","True","False","16","122","99.2067487839824","9","10","99.0690913542754","-0.138758130262594","Co-autoria detectada no commit 052da89: 'copilot'"
"pytorch/pytorch","pytorch","99610","9.7","8 a 11,9 anos","9","Alto (7+)","60 mil ou mais","True","True","True","True","1000","6624","61.6752816577768","1000","6042","58.3869454032113","-5.33169231850744","Arquivo detectado: .claude; Arquivo detectado: .github/copilot-instructions.md; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 403b695: 'claude'"
"ray-project/ray","ray-project","42423","9.5","8 a 11,9 anos","5","Medio (4-6)","30 mil a 59,9 mil","True","True","False","True","1000","3536","60.9873294687202","1000","1494","62.6857787115884","2.78492148723997","Arquivo detectado: .claude; Co-autoria detectada no commit a68fc8d: 'claude'"
"psf/black","psf","41488","8.1","8 a 11,9 anos","6","Medio (4-6)","30 mil a 59,9 mil","False","True","True","True","145","553","58.5433238980626","142","108","58.5103646975258","-0.0562988199887383","Co-autoria detectada no commit 55003e6: 'claude'; Co-autoria detectada no commit 5cdb4b6: 'copilot'"
"home-assistant/core","home-assistant","86919","12.6","12 anos ou mais","12","Alto (7+)","60 mil ou mais","True","True","True","True","1000","6376","65.0037782410887","1000","8528","68.1909176948645","4.90300647133957","Arquivo detectado: .claude; Arquivo detectado: .github/copilot-instructions.md; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 597d9a2: 'copilot'; Co-autoria detectada no commit 1b4a7d5: 'claude'"
"nicolargo/glances","nicolargo","32451","14.4","12 anos ou mais","8","Alto (7+)","30 mil a 59,9 mil","True","True","True","True","195","306","65.6936031833986","507","166","66.4188968450712","1.10405522992523","Arquivo detectado: .claude; Co-autoria detectada no commit 5b8e8ad: 'claude'; Co-autoria detectada no commit 07c10a6: 'copilot'"
"python-poetry/poetry","python-poetry","34274","8.2","8 a 11,9 anos","6","Medio (4-6)","30 mil a 59,9 mil","False","True","True","True","173","3313","66.8195327790911","137","144","64.3187609395181","-3.74257606356023","Co-autoria detectada no commit f9b1236: 'copilot'; Co-autoria detectada no commit 1449345: 'claude'"
"trailofbits/algo","trailofbits","30235","10","8 a 11,9 anos","3","Baixo (2-3)","30 mil a 59,9 mil","False","True","False","True","24","178","51.9049352077668","116","101","58.3776541591949","12.4703343247013","Co-autoria detectada no commit de11b86: 'claude'"
"encode/django-rest-framework","encode","29994","15.2","12 anos ou mais","3","Baixo (2-3)","15 mil a 29,9 mil","False","True","True","False","64","316","57.91100869434","83","38","59.1504785489174","2.14030092468156","Co-autoria detectada no commit 8d4c2d0: 'copilot'"
"numpy/numpy","numpy","31969","15.6","12 anos ou mais","3","Baixo (2-3)","30 mil a 59,9 mil","False","True","False","True","1000","1895","55.1253719105381","1000","498","58.9953735169759","7.02036371331579","Co-autoria detectada no commit aafacc6: 'claude'"
"Lightning-AI/pytorch-lightning","Lightning-AI","31108","7.1","Menos de 8 anos","6","Medio (4-6)","30 mil a 59,9 mil","False","True","True","True","1000","1494","68.4412782256087","165","187","70.2297935689145","2.61321148534108","Co-autoria detectada no commit bf93b18: 'copilot'; Co-autoria detectada no commit 648ec13: 'claude'"
"AtsushiSakai/PythonRobotics","AtsushiSakai","29400","10.1","8 a 11,9 anos","3","Baixo (2-3)","15 mil a 29,9 mil","False","True","True","False","61","33","50.5349814089407","28","10","49.898886862178","-1.25872124423139","Co-autoria detectada no commit 1311b94: 'copilot'"
"python-telegram-bot/python-telegram-bot","python-telegram-bot","29077","10.8","8 a 11,9 anos","2","Baixo (2-3)","15 mil a 29,9 mil","True","False","True","False","17","830","83.174047258908","92","34","76.6154226137529","-7.88542202922887","Arquivo detectado: .github/copilot-instructions.md"
"locustio/locust","locustio","27753","15.2","12 anos ou mais","7","Alto (7+)","15 mil a 29,9 mil","True","True","False","True","410","187","61.1617880561493","256","37","56.9142896454303","-6.94469299494576","Arquivo detectado: .vscode/settings.json; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 350e011: 'claude'"
"celery/celery","celery","28427","17","12 anos ou mais","5","Medio (4-6)","15 mil a 29,9 mil","True","True","True","False","177","793","50.2883331438836","155","131","52.2878257795586","3.97605669282002","Arquivo detectado: .github/copilot-instructions.md; Co-autoria detectada no commit 6b20dcd: 'copilot'"
